RaceNumber,FirstName,LastName,Position,Points
112,Станислав,КИРИЛОВ,1,25
272,Кристиан,ПЕТРОВ,2,22
131,Борис,ЧАКЪРОВ,3,20
15,Мартин,МАРИНОВ,4,18
134,Красимир,БОШНАКОВ,5,16
13,Любомир,СИНЕВ,6,15
393,Симеон,НЕНКОВ,7,14
189,Красимир,ДИМИТРОВ,8,13
217,Данаил,КОСТАДИНОВ,9,12
