N,Ст.№,Състезател,Отбор,Мотор,Общо,Кърнаре 29-30/3 Нв,Стзагора 12-13/4 Нв,Бухово 3-4/5 Нв,ГМалина 17-18/5 Нв,Дамасцена 14-15/6 Нв,SDCi 10-11/08 Нв,Кирково 08-09/11 Нв
1,255,Димитър ТИНЧЕВ,АЛБА ДАМАСЦЕНА МСК,KTM 300,214,25,22,25,25,25,25,18
2,347,Димитър ИЛИЕВ,ЕК ЛУДА РАБОТА,Husqvarna TE 300,166,22,16,22,16,22,20,18
3,34,Георги ГЕОРГИЕВ,ЕК ЛУДА РАБОТА,Husqvarna tpi300,138,14,18,0,0,0,22,
4,772,Валентин РОГЛЕВ,ЕК ЛУДА РАБОТА,KTM 250,127,13,14,18,0,13,,15
5,107,Калоян ТОДОРОВ,СК БУЛДОК РОКЕТС,GasGas,90,15,25,0,22,5,16,12
6,294,Александър Константин,СК ЕКСТРИЙМ РЕЙСИНГ,Sherco SE 250,109,16,10,0,0,0,11,20
7,274,Иван ЧУКУРОВ,ЕК ЛУДА РАБОТА,Husqvarna TE300,99,0,11,14,,15,13,14
8,400,Иван ГЕНЧЕВ,АЛБА ДАМАСЦЕНА МСК,Sherco 300 se,97,11,0,13,15,18,15,
9,9,Константин ИВАНОВ,МСК ЕНДУРО ЕКСТРИЙМ БОТЕВ,KTM EXC 300,84,12,13,10,9,16,14,13
10,94,Димитър ЦВЕТКОВ,НК ЕНДУРО ВИКТОРИ,KTM 300,82,20,15,,18,,,
11,307,Милен ДИМИТРОВ,МСК ЕНДУРО ЕКСТРИЙМ БОТЕВ,Ktm 300,69,9,2,4,0,6,18,25
12,811,Иван ЦОНЧЕВ,АЛБА ДАМАСЦЕНА МСК,Gas Gas Ec 300,67,18,20,20,0,,,
13,464,Иван САРПИОНОВ,"КЛУБ ""B&S RACING TEAM""",KTM EXC 300,65,7,9,16,14,,,
14,57,Петър ПЕТРОВ,МСК ХАРД ЕНДУРО ПЛЕВЕН,Gas Gas ec 300,62,2,7,11,12,11,2,10
15,350,Цветан АЛЕКСИЕВ,МСК ЕКС ЕНДУРО КЪРНАРЕ,KTM 350,61,,0,15,20,20,,
