N,Ст.№,Състезател,Отбор,Мотор,Общо,Кърнаре 29-30/3 Нв,Стзагора 12-13/4 Нв,Бухово 3-4/5 Нв,ГМалина 17-18/5 Нв,Дамасцена 14-15/6 Нв,SDCi 10-11/08 Нв,Кирково 08-09/11 Нв
1,70,Стоян ПАЧАРОЗОВ,МСК ЕКС ЕНДУРО КЪРНАРЕ,KTM 200,221,,20,22,25,25,22,20
2,339,Ясен ПОПОВ,НК ЕНДУРО ВИКТОРИ,KTM 300 EXC,163,25,18,,20,22,25,22
3,50,Пънчо КУЗМАНОВ,СК АФГ ТИМ,Honda CR 250,144,22,16,,15,16,,15
4,225,Иван СПАСОВ,СК КЪРТАЧИТЕ,ktm,123,,25,25,22,0,,
5,855,Руси ТЕНЕВ,ЕНДУРО КЛУБ СЕВТОПОЛИС,GASGAS EC 300,111,,22,15,14,20,,
6,574,Михаил Кръшняк,МСК НСА МОТОРСПОРТ,KTM exc 300,79,,,9,7,,,16
7,129,Георги КЪНЧЕВ,ЕНДУРО КЛУБ СЕВТОПОЛИС,KTM 250 EXC,55,,,,20,18,0,
8,303,Емил БРАТОЕВ,МСК ХАРД ЕНДУРО ПЛЕВЕН,KTM 300 EXC,42,,,3,5,8,,
9,74,Асан ИМАМОВ,ЕНДУРО КЛУБ КОРНИЦА,Gas Gas 300,37,,,,,,,25
10,302,Благой ТОДОРОВ,МОТО ДРУЖИНА БАНСКО,KTM 300,37,,,,6,,,
11,135,Пламен ТЕНЕВ,МСК ХАРД РАЙДЪРС,Husqvarna TE300,37,,,8,,,,
12,569,Пламен АТАНАСОВ,МСК ЕНДУРО ВАРНА,Beta 250rr,33,,,,,,,
13,727,Ивайло ПЕТРОВ,МСК ХАРД РАЙДЪРС,KTM 300 EXC,18,,,,,,,18
14,126,Иван Иванов,ЕК ЛУДА РАБОТА,Husky,18,,,4,,,,
15,89,Добрин ДОБРЕВ,АЛБА ДАМАСЦЕНА МСК,Husqvarna T300,18,,,,,,,
16,115,Ивайло ЙОРДАНОВ,МСК ХАРД РАЙДЪРС,GasGas 300,12,,,,,,,
17,571,Ангел ТРАКОВ,АМСК АИТ РЕЙСИНГ ТИЙМ,Husqvarna 300 TE,0,,,,,,,
18,774,Владислав ВАСИЛЕВ,МСК ЕНДУРО ВАРНА,Beta RR 300,0,,,,,,,
19,360,Кристиан САРАЛИЕВ,МСК ЕНДУРО ВАРНА,Beta 300 rr,0,,,,,,,
